superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
SAARC,AFG,Afghanistan,1,999,1,3,106.98901,199.08478,89.700317,8.7868576,57.063728,143.30852,51.19101,61.670868,558.85852,2209.5654,195.1521
SAARC,AFG,Afghanistan,1,999,1,999,81.008736,174.89587,78.560974,6.6446805,44.871151,148.99069,34.993423,60.172462,515.62006,2081.5774,136.21506
SAARC,AFG,Afghanistan,1,999,999,1,63.714394,162.16475,70.709641,5.5861645,35.556591,172.70966,23.858452,58.474724,481.33334,2072.3784,101.81896
SAARC,AFG,Afghanistan,1,999,999,2,79.998444,173.90126,78.184883,6.9504557,43.022926,192.61063,33.895485,60.198803,503.98444,2173.8677,139.92499
SAARC,AFG,Afghanistan,1,999,999,3,94.915924,192.75186,84.96965,8.1837215,50.32626,168.8694,42.085915,60.731133,537.63599,2254.3928,171.55295
SAARC,AFG,Afghanistan,1,999,999,999,71.865654,169.29742,74.441689,6.2665162,39.365986,176.15315,28.726694,59.175129,494.67529,2121.2476,120.38417
SAARC,AFG,Afghanistan,999,0,0,1,57.44051,125.25614,54.955608,4.7769442,28.525202,227.86855,21.394459,55.206417,447.87076,1994.0796,109.88202
SAARC,AFG,Afghanistan,999,0,0,2,71.972481,134.06186,60.274086,5.8840709,34.512421,255.01483,30.769119,56.964981,468.26358,2092.7449,151.18532
SAARC,AFG,Afghanistan,999,0,0,3,85.434242,149.15163,66.112213,6.8921695,40.401131,224.64279,38.195019,57.367851,498.16968,2167.1853,185.01306
SAARC,AFG,Afghanistan,999,0,0,999,64.73793,130.75467,57.767883,5.3301854,31.58494,232.8783,25.906643,55.899078,459.82193,2040.9921,129.93445
SAARC,AFG,Afghanistan,999,0,1,1,67.499313,131.96832,58.937286,5.0881476,34.086456,183.42603,27.936573,56.514999,472.3125,1953.7651,130.44527
SAARC,AFG,Afghanistan,999,0,1,2,84.57431,140.26666,65.91954,6.3089328,40.969124,207.59236,39.894852,57.961952,495.15186,2034.2424,178.01778
SAARC,AFG,Afghanistan,999,0,1,3,100.61943,156.1524,71.176147,7.5830512,47.266449,182.32277,50.290047,58.662941,525.08051,2122.0842,220.69035
SAARC,AFG,Afghanistan,999,0,1,999,76.109093,137.40866,62.255375,5.7234254,37.530491,188.16045,33.835598,57.142303,485.14374,1996.2418,154.11754
SAARC,AFG,Afghanistan,999,0,999,1,59.828167,126.84941,55.900738,4.8508148,29.845276,217.31923,22.947361,55.517036,453.67252,1984.5101,114.76312
SAARC,AFG,Afghanistan,999,0,999,2,74.963783,135.5347,61.614147,5.9849205,36.045048,243.75815,32.935295,57.201633,474.64606,2078.8582,157.55453
SAARC,AFG,Afghanistan,999,0,999,3,89.038757,150.8134,67.31424,7.0561643,42.03075,214.59729,41.066017,57.67527,504.5575,2156.4797,193.48178
SAARC,AFG,Afghanistan,999,0,999,999,67.437103,132.33414,58.83308,5.4235291,32.996239,222.26363,27.78874,56.194187,465.83261,2030.3699,135.67479
SAARC,AFG,Afghanistan,999,1,0,1,65.012787,212.41998,91.240036,6.5886192,39.430321,145.11072,23.02494,67.913963,508.2821,2177.9607,80.270645
SAARC,AFG,Afghanistan,999,1,0,2,81.759262,226.99747,101.64209,8.3316898,47.470959,163.4202,32.75132,70.041428,532.44647,2271.1021,110.37907
SAARC,AFG,Afghanistan,999,1,0,3,97.030472,252.71405,109.69861,9.5802727,55.377159,143.31598,40.412373,70.591492,568.29724,2366.5449,135.23668
SAARC,AFG,Afghanistan,999,1,0,999,73.384666,221.63687,96.218269,7.4070659,43.539116,148.54883,27.699663,68.761658,522.50781,2226.1555,94.918877
SAARC,AFG,Afghanistan,999,1,1,1,76.249496,221.12643,97.958572,7.1200857,47.106956,116.74878,29.950592,69.393898,536.57178,2128.3511,94.557228
SAARC,AFG,Afghanistan,999,1,1,2,95.64492,237.46719,109.61491,8.808672,56.647888,130.78867,42.607853,71.531601,562.03284,2216.7148,129.79462
SAARC,AFG,Afghanistan,999,1,1,3,113.53156,263.84277,118.31367,10.33749,66.286682,115.31641,52.863945,72.102013,598.5387,2305.397,160.00778
SAARC,AFG,Afghanistan,999,1,1,999,85.976669,231.07744,103.48595,7.9625311,52.022377,119.37642,36.078461,70.248421,551.36377,2173.7839,111.87489
SAARC,AFG,Afghanistan,999,1,999,1,67.680038,214.4866,92.834816,6.7147732,41.252522,138.37845,24.66888,68.265251,514.99719,2166.1848,83.661842
SAARC,AFG,Afghanistan,999,1,999,2,85.055305,229.48267,103.5346,8.44491,49.649288,155.67445,35.090965,70.395157,539.46942,2258.1921,114.98774
SAARC,AFG,Afghanistan,999,1,999,3,100.94733,255.35567,111.74356,9.7600136,57.966751,136.66972,43.368004,70.950043,575.47559,2352.03,141.11659
SAARC,AFG,Afghanistan,999,1,999,999,76.373634,223.87779,97.943405,7.5389171,45.552788,141.62418,29.688538,69.114571,529.35736,2213.7241,98.943726
SAARC,AFG,Afghanistan,999,999,0,1,60.597954,161.60124,70.085289,5.5323668,33.072357,193.36064,22.074329,60.505142,473.06076,2070.7534,97.534828
SAARC,AFG,Afghanistan,999,999,0,2,76.053322,172.81364,77.523483,6.9046655,39.915802,216.8222,31.595646,62.41753,495.02625,2167.1152,134.17015
SAARC,AFG,Afghanistan,999,999,0,3,90.269577,192.33452,84.286629,8.0130396,46.645752,190.73157,39.119598,62.881775,527.41107,2250.3132,164.25757
SAARC,AFG,Afghanistan,999,999,0,999,68.343399,168.65024,73.800713,6.1961918,36.569527,197.71504,26.654285,61.262447,485.96036,2118.2004,115.33384
SAARC,AFG,Afghanistan,999,999,1,1,71.147911,169.14497,75.20816,5.9354138,39.515675,155.62329,28.776367,61.885166,499.10693,2026.563,115.48087
SAARC,AFG,Afghanistan,999,999,1,2,89.190475,180.7968,84.139397,7.3512602,47.506771,175.56717,41.026104,63.620152,523.03949,2110.3289,157.90994
SAARC,AFG,Afghanistan,999,999,1,3,106.00346,201.05656,90.831299,8.7315826,55.197403,154.38283,51.363297,64.266693,555.71069,2198.521,195.38727
SAARC,AFG,Afghanistan,999,999,1,999,80.223625,176.46617,79.447479,6.6570759,43.573238,159.47926,34.770817,62.607224,512.7558,2070.2725,136.50343
SAARC,AFG,Afghanistan,999,999,999,1,63.102203,163.39191,71.301315,5.6280384,34.60181,184.40294,23.665192,60.832722,479.24338,2060.2639,101.79469
SAARC,AFG,Afghanistan,999,999,999,2,79.171684,174.7086,79.09391,7.0106735,41.71767,207.0295,33.834156,62.702995,501.67575,2153.6357,139.80527
SAARC,AFG,Afghanistan,999,999,999,3,94.004326,194.40486,85.840134,8.1836004,48.675655,182.10347,42.025883,63.21051,534.12854,2238.019,171.64682
SAARC,AFG,Afghanistan,999,999,999,999,71.163406,170.50551,75.14109,6.3055921,38.231998,188.63902,28.580908,61.581657,492.3208,2106.824,120.35887
SSA,AGO,Angola,0,0,0,1,59.044197,73.897202,7.1267858,3.0799243,5.3509688,103.63185,8.0196486,62.732292,538.87207,2518.3088,19.846889
SSA,AGO,Angola,0,0,0,2,75.037323,78.946152,8.1390667,3.683933,7.6296916,127.48154,14.00818,64.682549,529.91193,2551.8818,30.552856
SSA,AGO,Angola,0,0,0,3,94.42112,89.554306,10.059909,4.8323374,10.769228,128.83636,22.920017,66.027351,565.21063,2587.5742,49.826065
SSA,AGO,Angola,0,0,0,999,75.787819,80.642342,8.4121656,3.8476253,7.8594122,119.64409,14.826798,64.442825,544.49713,2551.8325,33.102501
SSA,AGO,Angola,0,0,1,1,72.743675,73.83625,7.6421576,5.6158876,8.230876,243.493,15.206348,71.29847,509.83353,2296.3755,30.031023
SSA,AGO,Angola,0,0,1,2,92.33699,79.241081,8.73386,6.9201403,11.785302,300.70355,26.466801,74.022957,500.89209,2314.1785,46.857063
SSA,AGO,Angola,0,0,1,3,116.17156,89.659813,10.857878,8.8025436,16.246796,303.49597,44.239994,75.001251,534.02448,2337.1089,76.063072
SSA,AGO,Angola,0,0,1,999,93.284821,80.752167,9.0454426,7.0794039,12.001999,281.75436,28.336351,73.395355,514.76654,2315.4536,50.511574
SSA,AGO,Angola,0,0,999,1,67.234154,73.860764,7.4348903,4.5959992,7.0726643,187.24504,12.316072,67.853409,521.51196,2385.6304,25.93527
SSA,AGO,Angola,0,0,999,2,85.379585,79.122467,8.4946518,5.6186347,10.11404,231.03886,21.456318,70.266525,512.56299,2409.7756,40.299999
SSA,AGO,Angola,0,0,999,3,107.42418,89.617378,10.536959,7.2058454,14.043882,233.25311,35.665741,71.392212,546.56659,2437.8384,65.511337
SSA,AGO,Angola,0,0,999,999,86.248055,80.708,8.7907581,5.7796798,10.335976,216.55849,22.903215,69.794922,526.72333,2410.5181,43.51017
SSA,AGO,Angola,0,1,0,1,79.60154,108.12305,9.8243799,3.5159128,8.3484974,125.79292,6.6700144,68.007172,518.59479,2532.8076,14.869004
SSA,AGO,Angola,0,1,0,2,100.99483,117.49986,11.054346,4.3367763,11.771627,154.78899,11.664974,70.022186,509.03055,2552.803,22.881271
SSA,AGO,Angola,0,1,0,3,127.22974,132.69124,13.968067,5.6504312,16.786448,155.88194,19.372425,71.512024,541.40479,2586.2429,36.97118
SSA,AGO,Angola,0,1,0,999,102.09824,119.18387,11.574665,4.4789228,12.213778,145.08017,12.436913,69.807129,522.87469,2556.7339,24.68082
SSA,AGO,Angola,0,1,1,1,98.106812,108.55965,10.463844,6.5100198,12.599228,297.41919,12.726663,77.150391,489.0564,2295.843,22.682306
SSA,AGO,Angola,0,1,1,2,124.72729,116.48096,12.108875,7.8123446,17.822464,367.86411,22.509485,79.702621,479.11624,2315.8879,34.990417
SSA,AGO,Angola,0,1,1,3,156.55141,133.23726,14.783856,10.193797,25.578917,370.89954,37.102528,80.962021,511.32297,2342.1221,56.603363
SSA,AGO,Angola,0,1,1,999,125.83342,119.1789,12.407519,8.1345139,18.531101,344.40048,23.858065,79.226196,493.03644,2317.4592,37.74461
SSA,AGO,Angola,0,1,999,1,90.664551,108.38406,10.206671,5.3058796,10.889712,228.39626,10.290861,73.473267,500.93585,2391.1431,19.540031
SSA,AGO,Angola,0,1,999,2,115.18282,116.89073,11.684776,6.4145756,15.388999,282.17169,18.148148,75.809441,491.14688,2411.1682,30.120483
